Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP002714,Male,No,1,Not Graduate,No,2679,1302,4.543294782,360,1,Semiurban,Y
LP001854,Male,Yes,3,Graduate,No,5250,0,4.543294782,360,1,Urban,N
LP001792,Male,Yes,1,Graduate,No,3315,0,4.564348191,360,1,Semiurban,Y
LP001384,Male,Yes,3,Not Graduate,No,2071,754,4.543294782,480,1,Semiurban,Y
LP002622,Male,Yes,2,Graduate,No,3510,4416,5.493061443,360,1,Rural,Y
LP002484,Male,Yes,3,Graduate,No,7740,0,4.852030264,180,1,Urban,Y
LP001778,Male,Yes,1,Graduate,No,3155,1779,4.941642423,360,1,Semiurban,Y
LP002530,Male,Yes,2,Graduate,No,2873,1872,4.882801923,360,0,Semiurban,N
LP001369,Male,Yes,2,Graduate,No,11417,1126,5.416100402,360,1,Urban,Y
LP001859,Male,Yes,0,Graduate,No,14683,2100,5.717027701,360,1,Rural,N
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,4.356708827,180,1,Urban,Y
LP001357,Male,Yes,0,Graduate,No,3816,754,5.075173815,360,1,Urban,Y
LP001836,Female,No,2,Graduate,No,3427,0,4.927253685,360,1,Urban,N
LP002211,Male,Yes,0,Graduate,No,4817,923,4.787491743,180,1,Urban,Y
LP002911,Male,Yes,1,Graduate,No,2787,1917,4.983606622,360,0,Rural,N
LP001030,Male,Yes,2,Graduate,No,1299,1086,2.833213344,120,1,Urban,Y
LP001776,Female,No,0,Graduate,No,8333,0,5.634789603,360,1,Semiurban,Y
LP001535,Male,No,0,Graduate,No,3254,0,3.912023005,360,1,Urban,Y
LP002318,Female,No,1,Not Graduate,Yes,3867,0,4.127134385,360,1,Semiurban,N
LP002740,Male,Yes,3,Graduate,No,6417,0,5.056245805,180,1,Rural,Y
LP001041,Male,Yes,0,Graduate,No,2600,3500,4.744932128,360,1,Urban,Y
LP001882,Male,Yes,3,Graduate,No,4333,1811,5.075173815,360,0,Urban,Y
LP001531,Male,No,0,Graduate,No,9166,0,5.497168225,360,1,Urban,N
LP001385,Male,No,0,Graduate,No,5316,0,4.912654886,360,1,Urban,Y
LP002618,Male,Yes,1,Not Graduate,No,4050,5302,4.927253685,360,1,Rural,N
LP001032,Male,No,0,Graduate,No,4950,0,4.828313737,360,1,Urban,Y
LP001068,Male,Yes,0,Graduate,No,2799,2253,4.804021045,360,1,Semiurban,Y
LP002705,Male,Yes,0,Graduate,No,3775,0,4.700480366,360,1,Semiurban,Y
LP002131,Male,Yes,2,Not Graduate,No,3083,2168,4.836281907,360,1,Urban,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,4.787491743,360,1,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,33846,0,5.560681631,360,1,Semiurban,N
LP002788,Male,Yes,0,Not Graduate,No,2454,2333,5.198497031,360,0,Urban,N
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,5.023880521,360,1,Rural,Y
LP001264,Male,Yes,3,Not Graduate,Yes,3333,2166,4.86753445,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,4230,0,4.718498871,360,1,Semiurban,N
LP002689,Male,Yes,2,Not Graduate,No,2192,1742,3.80666249,360,1,Semiurban,Y
LP002263,Male,Yes,0,Graduate,No,2583,2115,4.787491743,360,1,Urban,Y
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,4.905274778,360,1,Urban,Y
LP001892,Male,No,0,Graduate,No,2833,1857,4.836281907,360,1,Rural,Y
LP001581,Male,Yes,0,Not Graduate,No,1820,1769,4.553876892,360,1,Rural,Y
LP002035,Male,Yes,2,Graduate,No,3717,0,4.787491743,360,1,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,16250,0,5.257495372,360,0,Urban,N
LP001432,Male,Yes,2,Graduate,No,2957,0,4.394449155,360,1,Semiurban,Y
LP002296,Male,No,0,Not Graduate,No,2755,0,4.17438727,300,1,Rural,N
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,4.753590191,360,0,Semiurban,N
LP002925,Male,No,0,Graduate,No,4750,0,4.543294782,360,1,Semiurban,Y
LP001806,Male,No,0,Graduate,No,2965,5701,5.043425117,60,1,Urban,Y
LP002562,Male,Yes,1,Not Graduate,No,5333,1131,5.225746674,360,1,Urban,Y
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0,4.927253685,360,1,Rural,Y
LP002151,Male,Yes,1,Graduate,No,3875,0,4.204692619,360,1,Urban,N
LP001716,Male,Yes,0,Graduate,No,3173,3021,4.919980926,360,1,Urban,Y
LP001891,Male,Yes,0,Graduate,No,11146,0,4.912654886,360,1,Urban,Y
LP001197,Male,Yes,0,Graduate,No,3366,2200,4.905274778,360,1,Rural,N
LP002693,Male,Yes,2,Graduate,Yes,7948,7166,6.173786104,360,1,Rural,Y
LP001194,Male,Yes,2,Graduate,No,2708,1167,4.574710979,360,1,Semiurban,Y
LP001448,Male,Yes,3,Graduate,No,23803,0,5.913503006,360,1,Rural,Y
LP002741,Female,Yes,1,Graduate,No,4608,2845,4.941642423,180,1,Semiurban,Y
LP002317,Male,Yes,3,Graduate,No,81000,0,5.886104031,360,0,Rural,N
LP002361,Male,Yes,0,Graduate,No,1820,1719,4.605170186,360,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,2882,1843,4.812184355,480,1,Semiurban,Y
LP001974,Female,No,0,Graduate,No,5000,0,4.882801923,360,1,Rural,Y
LP001702,Male,No,0,Graduate,No,3418,0,4.844187086,360,1,Semiurban,N
LP002067,Male,Yes,1,Graduate,Yes,8666,4983,5.929589143,360,0,Rural,N
LP002682,Male,Yes,0,Not Graduate,No,3074,1800,4.812184355,360,0,Semiurban,N
LP002600,Male,Yes,1,Graduate,Yes,2895,0,4.553876892,360,1,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,6050,4333,4.787491743,180,1,Urban,N
LP002050,Male,Yes,1,Graduate,Yes,10000,0,5.043425117,360,1,Rural,N
LP001186,Female,Yes,1,Graduate,Yes,11500,0,5.655991811,360,0,Urban,N
LP001711,Male,Yes,3,Graduate,No,3430,1250,4.852030264,360,0,Semiurban,N
LP001977,Male,Yes,1,Graduate,No,1625,1803,4.564348191,360,1,Urban,Y
LP001846,Female,No,3,Graduate,No,3083,0,5.541263545,360,1,Rural,Y
LP001225,Male,Yes,0,Graduate,No,5726,4595,5.552959585,360,1,Semiurban,N
LP001248,Male,No,0,Graduate,No,3500,0,4.394449155,300,1,Semiurban,Y
LP001095,Male,No,0,Graduate,No,3167,0,4.304065093,360,1,Urban,N
LP001318,Male,Yes,2,Graduate,No,6250,5654,5.236441963,180,1,Semiurban,Y
LP002945,Male,Yes,0,Graduate,Yes,9963,0,5.192956851,360,1,Rural,Y
LP002832,Male,Yes,2,Graduate,No,8799,0,5.552959585,360,0,Urban,N
LP001029,Male,No,0,Graduate,No,1853,2840,4.736198448,360,1,Rural,N
LP002588,Male,Yes,0,Graduate,No,4625,2857,4.709530201,12,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,4.9698133,360,1,Urban,Y
LP001579,Male,No,0,Graduate,No,2237,0,4.143134726,480,0,Semiurban,N
LP001116,Male,No,0,Not Graduate,No,3748,1668,4.700480366,360,1,Semiurban,Y
LP002424,Male,Yes,0,Graduate,No,7333,8333,5.164785974,300,1,Rural,Y
LP001532,Male,Yes,2,Not Graduate,No,2281,0,4.727387819,360,1,Rural,N
LP001868,Male,No,0,Graduate,No,2060,2209,4.8978398,360,1,Semiurban,Y
LP002284,Male,No,0,Not Graduate,No,3902,1666,4.691347882,360,1,Rural,Y
LP001871,Female,No,0,Graduate,No,7200,0,4.787491743,360,1,Rural,Y
LP002337,Female,No,0,Graduate,No,2995,0,4.094344562,360,1,Urban,Y
LP001137,Female,No,0,Graduate,No,3410,0,4.477336814,360,1,Urban,Y
LP001888,Female,No,0,Graduate,No,3237,0,3.401197382,360,1,Urban,Y
LP002529,Male,Yes,2,Graduate,No,6700,1750,5.438079309,300,1,Semiurban,Y
LP002341,Female,No,1,Graduate,No,2600,0,5.075173815,360,1,Urban,N
LP002467,Male,Yes,0,Graduate,No,3708,2569,5.153291594,360,1,Urban,N
LP001275,Male,Yes,1,Graduate,No,3988,0,3.912023005,240,1,Urban,Y
LP002055,Female,No,0,Graduate,No,3166,2985,4.882801923,360,1,Rural,Y
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,4.682131227,360,1,Rural,Y
LP001091,Male,Yes,1,Graduate,No,4166,3369,5.303304908,360,1,Urban,N
LP002842,Male,Yes,1,Graduate,No,3417,1750,5.225746674,360,1,Urban,Y
LP001606,Male,Yes,0,Graduate,No,3497,1964,4.753590191,360,1,Rural,Y
LP002100,Male,No,0,Graduate,No,2833,0,4.262679877,360,1,Urban,Y
LP002209,Female,No,0,Graduate,No,2764,1459,4.700480366,360,1,Urban,Y
LP002585,Male,Yes,0,Graduate,No,3597,2157,4.779123493,360,0,Rural,N
LP001146,Female,Yes,0,Graduate,No,2645,3440,4.787491743,360,0,Urban,N
LP002776,Female,No,0,Graduate,No,5000,0,4.634728988,360,0,Semiurban,N
LP001046,Male,Yes,1,Graduate,No,5955,5625,5.752572639,360,1,Urban,Y
LP002959,Female,Yes,1,Graduate,No,12000,0,6.206575927,360,1,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,4.584967479,360,1,Semiurban,Y
LP001426,Male,Yes,0,Graduate,No,5667,2667,5.192956851,360,1,Rural,Y
LP002444,Male,No,1,Not Graduate,Yes,2769,1542,5.247024072,360,1,Semiurban,N
LP001931,Female,No,0,Graduate,No,4124,0,4.744932128,360,1,Semiurban,Y
LP002500,Male,Yes,3,Not Graduate,No,2947,1664,4.248495242,180,0,Urban,N
LP001327,Female,Yes,0,Graduate,No,2484,2302,4.919980926,360,1,Semiurban,Y
LP002087,Female,No,0,Graduate,No,2500,0,4.204692619,360,1,Urban,Y
LP001120,Male,No,0,Graduate,No,1800,1213,3.850147602,360,1,Urban,Y
LP002144,Female,No,0,Graduate,No,3813,0,4.753590191,180,1,Urban,Y
LP001798,Male,Yes,2,Graduate,No,5819,5000,4.787491743,360,1,Rural,Y
LP001228,Male,No,0,Not Graduate,No,3200,2254,4.836281907,180,0,Urban,N
LP001715,Male,Yes,3,Not Graduate,Yes,5703,0,4.86753445,360,1,Rural,Y
LP001644,Male,Yes,0,Graduate,Yes,674,5296,5.123963979,360,1,Rural,Y
LP002556,Male,No,0,Graduate,No,2435,0,4.317488114,360,1,Urban,N
LP001865,Male,Yes,1,Graduate,No,6083,4250,5.799092654,360,1,Urban,Y
LP002180,Male,No,0,Graduate,Yes,6822,0,4.94875989,360,1,Rural,Y
LP002140,Male,No,0,Graduate,No,8750,4167,5.730099783,360,1,Rural,N
LP002527,Male,Yes,2,Graduate,Yes,16525,1014,5.010635294,360,1,Rural,Y
LP001570,Male,Yes,2,Graduate,No,4167,1447,5.062595033,360,1,Rural,Y
LP001814,Male,Yes,2,Graduate,No,9703,0,4.718498871,360,1,Urban,Y
LP002739,Male,Yes,0,Not Graduate,No,2917,536,4.189654742,360,1,Rural,N
LP001770,Male,No,0,Not Graduate,No,3189,2598,4.787491743,360,1,Rural,Y
LP002933,Male,No,3,Graduate,Yes,9357,0,5.676753802,360,1,Semiurban,Y
LP002624,Male,Yes,0,Graduate,No,20833,6667,6.173786104,360,1,Urban,Y
LP001497,Male,Yes,2,Graduate,No,5042,2083,5.220355825,360,1,Rural,N
LP002586,Female,Yes,1,Graduate,No,3326,913,4.65396035,84,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,0,4.189654742,300,0,Rural,N
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,4.700480366,360,1,Urban,N
LP002265,Male,Yes,2,Not Graduate,No,1993,1625,4.727387819,180,1,Semiurban,Y
LP002943,Male,No,0,Graduate,No,2987,0,4.477336814,360,0,Semiurban,N
LP002418,Male,No,3,Not Graduate,No,4707,1993,4.997212274,360,1,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,7933,0,5.616771098,360,1,Urban,N
LP001751,Male,Yes,0,Graduate,No,3250,0,5.135798437,360,1,Rural,N
LP001585,Male,Yes,3,Graduate,No,51763,0,6.551080335,300,1,Urban,Y
LP002348,Male,Yes,0,Graduate,No,5829,0,4.927253685,360,1,Rural,Y
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,4.465908119,360,1,Rural,Y
LP002082,Male,Yes,0,Graduate,Yes,5818,2160,5.214935758,360,1,Semiurban,Y
LP002743,Female,No,0,Graduate,No,2138,0,4.59511985,360,0,Semiurban,N
LP002137,Male,Yes,0,Graduate,No,6333,4583,5.556828062,360,1,Semiurban,Y
LP002098,Male,No,0,Graduate,No,2935,0,4.584967479,360,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,2214,1398,4.442651256,360,1,Urban,Y
LP002128,Male,Yes,2,Graduate,No,2583,2330,4.828313737,360,1,Rural,Y
LP002778,Male,Yes,2,Graduate,Yes,6633,0,4.852030264,360,0,Rural,N
LP002243,Male,Yes,0,Not Graduate,No,3010,3136,4.852030264,360,0,Urban,N
LP002517,Male,Yes,1,Not Graduate,No,2653,1500,4.727387819,180,0,Rural,N
LP001978,Male,No,0,Graduate,No,4000,2500,4.941642423,360,1,Rural,Y
LP002784,Male,Yes,1,Not Graduate,No,2492,2375,4.852030264,360,1,Rural,Y
LP001343,Male,Yes,0,Graduate,No,1759,3541,4.875197323,360,1,Semiurban,Y
LP002459,Male,Yes,0,Graduate,No,4301,0,4.770684624,360,1,Urban,Y
LP001404,Female,Yes,0,Graduate,No,3167,2283,5.036952602,360,1,Semiurban,Y
LP001720,Male,Yes,3,Not Graduate,No,3850,983,4.605170186,360,1,Semiurban,Y
LP001760,Male,Yes,0,Graduate,No,4758,0,5.062595033,480,1,Semiurban,Y
LP001949,Male,Yes,3,Graduate,No,4416,1250,4.700480366,360,1,Urban,Y
LP002335,Female,Yes,0,Not Graduate,No,2149,3237,5.18178355,360,0,Semiurban,N
LP002757,Female,Yes,0,Not Graduate,No,3017,663,4.624972813,360,1,Semiurban,Y
LP001518,Male,Yes,1,Graduate,No,1538,1425,3.401197382,360,1,Urban,Y
LP002065,Male,Yes,3,Graduate,No,15000,0,5.703782475,360,1,Rural,Y
LP001052,Male,Yes,1,Graduate,No,3717,2925,5.017279837,360,1,Semiurban,N
LP002637,Male,No,0,Not Graduate,No,3598,1287,4.605170186,360,1,Rural,N
LP002544,Male,Yes,1,Not Graduate,No,1958,2436,4.875197323,360,1,Rural,Y
LP001734,Female,Yes,2,Graduate,No,4283,2383,4.844187086,360,1,Semiurban,Y
LP002931,Male,Yes,2,Graduate,Yes,6000,0,5.323009979,240,1,Semiurban,N
LP002142,Female,Yes,0,Graduate,Yes,5500,0,4.65396035,360,0,Rural,N
LP001870,Female,No,1,Graduate,No,3481,0,5.043425117,36,1,Semiurban,N
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,4.890349128,180,1,Urban,Y
LP002237,Male,No,1,Graduate,No,3667,0,4.727387819,180,1,Urban,Y
LP002789,Male,Yes,0,Graduate,No,3593,4266,4.882801923,180,0,Rural,N
LP001233,Male,Yes,1,Graduate,No,10750,0,5.743003188,360,1,Urban,Y
LP002106,Male,Yes,0,Graduate,Yes,5503,4490,4.248495242,360,1,Semiurban,Y
LP002332,Male,Yes,0,Not Graduate,No,2253,2033,4.700480366,360,1,Rural,Y
LP001469,Male,No,0,Graduate,Yes,20166,0,6.476972363,480,1,Urban,Y
LP002434,Male,Yes,2,Not Graduate,No,4652,0,4.700480366,360,1,Rural,Y
LP002266,Male,Yes,2,Graduate,No,3100,1400,4.727387819,360,1,Urban,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,4.941642423,180,1,Urban,N
LP001356,Male,Yes,0,Graduate,No,4652,3583,4.852030264,360,1,Semiurban,Y
LP001994,Female,No,0,Graduate,No,2400,1863,4.644390899,360,0,Urban,N
LP002505,Male,Yes,0,Graduate,No,4333,2451,4.700480366,360,1,Urban,N
LP001758,Male,Yes,2,Graduate,No,6250,1695,5.347107531,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,4.700480366,360,1,Urban,Y
LP001665,Male,Yes,1,Graduate,No,3125,2583,5.135798437,360,1,Semiurban,N
LP002536,Male,Yes,3,Not Graduate,No,3095,0,4.727387819,360,1,Rural,Y
LP002398,Male,No,0,Graduate,No,1926,1851,3.912023005,360,1,Semiurban,Y
LP002953,Male,Yes,3,Graduate,No,5703,0,4.852030264,360,1,Urban,Y
LP002387,Male,Yes,0,Graduate,No,2425,2340,4.96284463,360,1,Semiurban,Y
LP002472,Male,No,2,Graduate,No,4354,0,4.912654886,360,1,Rural,Y
LP002170,Male,Yes,2,Graduate,No,5000,3667,5.463831805,360,1,Semiurban,Y
LP002606,Female,No,0,Graduate,No,3159,0,4.605170186,360,1,Semiurban,Y
LP002753,Female,No,1,Graduate,No,3652,0,4.553876892,360,1,Semiurban,Y
LP002224,Male,No,0,Graduate,No,3069,0,4.262679877,480,1,Urban,N
LP001639,Female,Yes,0,Graduate,No,3625,0,4.682131227,360,1,Semiurban,Y
LP002821,Male,No,0,Not Graduate,Yes,5800,0,4.882801923,360,1,Semiurban,Y
LP002820,Male,Yes,0,Graduate,No,5923,2054,5.351858133,360,1,Rural,Y
LP002489,Female,No,1,Not Graduate,No,5191,0,4.882801923,360,1,Semiurban,Y
LP001788,Female,No,0,Graduate,Yes,3463,0,4.804021045,360,1,Urban,Y
LP001935,Male,No,0,Graduate,No,9508,0,5.231108617,360,1,Rural,Y
LP001005,Male,Yes,0,Graduate,Yes,3000,0,4.189654742,360,1,Urban,Y
LP002401,Male,Yes,0,Graduate,No,2213,1125,4.852030264,360,1,Urban,Y
LP002408,Male,No,0,Graduate,No,3660,5064,5.231108617,360,1,Semiurban,Y
LP001123,Male,Yes,0,Graduate,No,2400,0,4.317488114,360,1,Urban,Y
LP001926,Male,Yes,0,Graduate,No,3704,2000,4.787491743,360,1,Rural,Y
LP002717,Male,Yes,0,Graduate,No,1025,5500,5.375278408,360,1,Rural,Y
LP001478,Male,No,0,Graduate,No,2718,0,4.248495242,360,1,Semiurban,Y
LP002537,Male,Yes,0,Graduate,No,2083,3150,4.852030264,360,1,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,4408,0,4.787491743,360,1,Semiurban,Y
LP002888,Male,No,0,Graduate,No,3182,2917,5.081404365,360,1,Urban,Y
LP001038,Male,Yes,0,Not Graduate,No,4887,0,4.890349128,360,1,Rural,N
LP002734,Male,Yes,0,Graduate,No,6133,3906,5.780743516,360,1,Urban,Y
LP002250,Male,Yes,0,Graduate,No,5488,0,4.828313737,360,1,Rural,Y
LP002435,Male,Yes,0,Graduate,No,3539,1376,4.007333185,360,1,Rural,N
LP001875,Male,No,0,Graduate,No,4095,3447,5.017279837,360,1,Rural,Y
LP001732,Male,Yes,2,Graduate,No,5000,0,4.276666119,360,0,Semiurban,N
LP001761,Male,No,0,Graduate,Yes,6400,0,5.298317367,360,1,Rural,Y
LP002813,Female,Yes,1,Graduate,Yes,19484,0,6.396929655,360,1,Semiurban,Y
LP002515,Male,Yes,1,Graduate,Yes,3450,2079,5.087596335,360,1,Semiurban,Y
LP001972,Male,Yes,0,Not Graduate,No,2875,1750,4.65396035,360,1,Semiurban,Y
LP001996,Male,No,0,Graduate,No,20233,0,6.173786104,360,1,Rural,N
LP002231,Female,No,0,Graduate,No,6000,0,5.049856007,360,1,Urban,Y
LP001507,Male,Yes,0,Graduate,No,2698,2034,4.804021045,360,1,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,14866,0,4.248495242,360,1,Urban,Y
LP001514,Female,Yes,0,Graduate,No,2330,4486,4.605170186,360,1,Semiurban,Y
LP001872,Male,No,0,Graduate,Yes,5166,0,4.852030264,360,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,4895,0,4.624972813,360,1,Semiurban,Y
LP002795,Male,Yes,3,Graduate,Yes,10139,0,5.560681631,360,1,Semiurban,Y
LP002533,Male,Yes,2,Graduate,No,2947,1603,4.852030264,360,1,Urban,N
LP001256,Male,No,0,Graduate,No,3750,4750,5.170483995,360,1,Urban,N
LP002964,Male,Yes,2,Not Graduate,No,3987,1411,5.056245805,360,1,Rural,Y
LP002926,Male,Yes,2,Graduate,Yes,2726,0,4.663439094,360,0,Semiurban,N
LP001749,Male,Yes,0,Graduate,No,7578,1010,5.164785974,360,1,Semiurban,Y
LP001998,Male,Yes,2,Not Graduate,No,7667,0,5.220355825,360,1,Rural,Y
LP002288,Male,Yes,2,Not Graduate,No,2889,0,3.80666249,180,0,Urban,N
LP001106,Male,Yes,0,Graduate,No,2275,2067,4.852030264,360,1,Urban,Y
LP001243,Male,Yes,0,Graduate,No,3208,3066,5.147494477,360,1,Urban,Y
LP001151,Female,No,0,Graduate,No,4000,2275,4.9698133,360,1,Semiurban,Y
LP002002,Female,No,0,Graduate,No,2917,0,4.430816799,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,4188,0,4.744932128,180,1,Semiurban,Y
LP001392,Female,No,1,Graduate,Yes,7451,0,4.852030264,360,1,Semiurban,Y
LP002139,Male,Yes,0,Graduate,No,9083,0,5.429345629,360,1,Semiurban,Y
LP001924,Male,No,0,Graduate,No,3158,3053,4.48863637,360,1,Rural,Y
LP002961,Male,Yes,1,Graduate,No,3400,2500,5.153291594,360,1,Semiurban,Y
LP002187,Male,No,0,Graduate,No,2500,0,4.564348191,480,1,Semiurban,N
LP001422,Female,No,0,Graduate,No,10408,0,5.556828062,360,1,Urban,Y
LP002225,Male,Yes,2,Graduate,No,5391,0,4.86753445,360,1,Urban,Y
LP002983,Male,Yes,1,Graduate,No,8072,240,5.533389489,360,1,Urban,Y
LP002129,Male,Yes,0,Graduate,No,2499,2458,5.075173815,360,1,Semiurban,Y
LP001241,Female,No,0,Graduate,No,4300,0,4.912654886,360,0,Semiurban,N
LP001768,Male,Yes,0,Graduate,No,3716,0,3.737669618,180,1,Rural,Y
LP002226,Male,Yes,0,Graduate,No,3333,2500,4.852030264,360,1,Semiurban,Y
LP002894,Female,Yes,0,Graduate,No,3166,0,3.583518938,360,1,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,3103,1300,4.382026635,360,1,Urban,Y
LP001066,Male,Yes,0,Graduate,Yes,9560,0,5.252273428,360,1,Semiurban,Y
LP002634,Female,No,1,Graduate,No,13262,0,3.688879454,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1442,0,3.555348061,360,1,Urban,N
LP002602,Male,No,0,Graduate,No,6283,4416,5.342334252,360,0,Rural,N
LP001726,Male,Yes,0,Graduate,No,3727,1775,4.875197323,360,1,Semiurban,Y
LP002447,Male,Yes,2,Not Graduate,No,1958,1456,4.094344562,300,1,Urban,Y
LP001387,Female,Yes,0,Graduate,No,2929,2333,4.934473933,360,1,Semiurban,Y
LP001263,Male,Yes,3,Graduate,No,3167,4000,5.192956851,300,0,Semiurban,N
LP001691,Male,Yes,2,Not Graduate,No,3917,0,4.820281566,360,1,Semiurban,Y
LP002625,Male,No,0,Graduate,No,3583,0,4.564348191,360,1,Urban,N
LP002949,Female,No,3,Graduate,No,416,41667,5.857933154,180,1,Urban,N
LP002524,Male,No,2,Graduate,No,5532,4648,5.087596335,360,1,Rural,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508,4.852030264,360,1,Rural,N
LP001112,Female,Yes,0,Graduate,No,3667,1459,4.9698133,360,1,Semiurban,Y
LP002767,Male,Yes,0,Graduate,No,2768,1950,5.043425117,360,1,Rural,Y
LP002036,Male,Yes,0,Graduate,No,2058,2134,4.477336814,360,1,Urban,Y
LP002161,Female,No,1,Graduate,No,4723,0,4.394449155,360,1,Semiurban,N
